Lopues East Center                                                                      Page: 1
Villamonte, Bacolod City

SALES BY STOCK ITEM
Supplier : [6110] JOYTIS TRADIN
From     : 08/30/2008 To 11/21/2008
Printed  : 11/22/2008 10:42am NEMIA

-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
                                           TotalQty   Regular  Amount Sold | Promo      Promo    Total Promo|              Total
Barcode           Item Description           Sold     Price    (RegularPrc)|  Sold      Price       Sales   |   Cost       Cost 
-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
2403632        #9030 HAIR BRUSH                    2     66.00       132.00|        2     59.40       118.80|    45.75        91.50
2403407        #9032 FLAT BRUSH                    1     64.00        64.00|        1     57.60        57.60|    44.25        44.25
2403407        #9032 FLAT BRUSH                    2     64.00       128.00|                                |    44.25        88.50
2403630        #9039 HAIR BRUSH                    2     66.00       132.00|                                |    45.75        91.50
2403631        #9042 HAIR BRUSH                    3     66.00       198.00|        3     59.40       178.20|    45.75       137.25
2403627        #9043 HAIR BRUSH                    2     66.00       132.00|        2     59.40       118.80|    45.75        91.50
2403627        #9043 HAIR BRUSH                    1     66.00        66.00|                                |    45.75        45.75
2403629        #9044 HAIR BRUSH                    2     66.00       132.00|        2     56.10       112.20|    45.75        91.50
2403629        #9044 HAIR BRUSH                    1     66.00        66.00|        1     59.40        59.40|    45.75        45.75
2403629        #9044 HAIR BRUSH                    1     66.00        66.00|                                |    45.75        45.75
2401377        #HN-456 HAIR NET                    5     30.00       150.00|        5     24.00       120.00|    21.00       105.00
2401377        #HN-456 HAIR NET                    1     30.00        30.00|        1     25.50        25.50|    21.00        21.00
2401377        #HN-456 HAIR NET                    3     30.00        90.00|        3     27.00        81.00|    21.00        63.00
2401377        #HN-456 HAIR NET                   10     30.00       300.00|                                |    21.00       210.00
2402562        #HP-139 HAIRPINS                    1     22.00        22.00|        1     17.60        17.60|    15.00        15.00
2402562        #HP-139 HAIRPINS                    1     22.00        22.00|        1     18.70        18.70|    15.00        15.00
2402562        #HP-139 HAIRPINS                    4     22.00        88.00|        4     19.80        79.20|    15.00        60.00
2402562        #HP-139 HAIRPINS                    7     22.00       154.00|                                |    15.00       105.00
2403416        #L07 COMB                           4     34.00       136.00|                                |    23.25        93.00
1065936        #PH532 BEIGE STOCKING W/DES         1     49.00        49.00|                                |    36.75        36.75
2401893        #TC-1 H. SHAVER                     1     33.00        33.00|        1     29.70        29.70|    22.50        22.50
2403021        1016 ROLLER BRUSH                   1    137.00       137.00|                                |    95.25        95.25
2404058        1064 HAIRBRUSH                      3     52.00       156.00|        3     44.20       132.60|    36.00       108.00
2404058        1064 HAIRBRUSH                     18     52.00       936.00|       18     46.80       842.40|    36.00       648.00
2404058        1064 HAIRBRUSH                     28     52.00     1,456.00|                                |    36.00     1,008.00
2404058        1064 HAIRBRUSH                      9     58.00       522.00|        9     46.40       417.60|    40.50       364.50
2404058        1064 HAIRBRUSH                      1     58.00        58.00|        1     52.20        52.20|    40.50        40.50
2404058        1064 HAIRBRUSH                      1     58.00        58.00|                                |    40.50        40.50
2402990        1093 TISSING COMB                   1     41.00        41.00|                                |    28.50        28.50
2402989        1094 MED COMB                       8     35.00       280.00|        8     31.50       252.00|    24.00       192.00
2402989        1094 MED COMB                       7     35.00       245.00|                                |    24.00       168.00
2402988        1095 COMB                           1     43.00        43.00|        1     36.55        36.55|    30.00        30.00
2402988        1095 COMB                           6     43.00       258.00|        6     38.70       232.20|    30.00       180.00
2402988        1095 COMB                           3     43.00       129.00|                                |    30.00        90.00
2402987        1097 BATH COMB                      4     45.00       180.00|        4     40.50       162.00|    31.50       126.00
2402987        1097 BATH COMB                      2     45.00        90.00|                                |    31.50        63.00
2402987        1097 BATH COMB                      2     52.00       104.00|                                |    36.00        72.00
2402992        1101 ROLLER BRUSH                   1    159.00       159.00|        1    143.10       143.10|   111.00       111.00
2403218        1102 PULLER BRUSH                   1    120.00       120.00|                                |    84.00        84.00
2403218        1102 PULLER BRUSH                   1    129.00       129.00|        1    103.20       103.20|    90.00        90.00
2403028        1109 COMB                           3     39.00       117.00|                                |    29.25        87.75
2403028        1109 COMB                           2     42.00        84.00|        2     37.80        75.60|    29.25        58.50
2403028        1109 COMB                           1     42.00        42.00|                                |    29.25        29.25
2403729        1137AB HAIRBRUSH                    1    125.00       125.00|        1    112.50       112.50|    87.00        87.00


Lopues East Center                                                                      Page: 4
Villamonte, Bacolod City

SALES BY STOCK ITEM
Supplier : [6110] JOYTIS TRADIN
From     : 08/30/2008 To 11/21/2008
Printed  : 11/22/2008 10:42am NEMIA

-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
                                           TotalQty   Regular  Amount Sold | Promo      Promo    Total Promo|              Total
Barcode           Item Description           Sold     Price    (RegularPrc)|  Sold      Price       Sales   |   Cost       Cost 
-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
2403205        2012-1B SNAP ON CURLERS JUM         1     36.00        36.00|        1     32.40        32.40|    24.75        24.75
2403205        2012-1B SNAP ON CURLERS JUM         1     36.00        36.00|                                |    24.75        24.75
2403205        2012-1B SNAP ON CURLERS JUM         2     42.00        84.00|        2     37.80        75.60|    29.25        58.50
2403204        2012-2B SNAP ON CURLERS L.          1     36.00        36.00|        1     32.40        32.40|    24.75        24.75
2403204        2012-2B SNAP ON CURLERS L.          3     42.00       126.00|        3     37.80       113.40|    29.25        87.75
2403204        2012-2B SNAP ON CURLERS L.          2     42.00        84.00|                                |    29.25        58.50
2403203        2012-3B SNAP ON CURLERS MED         1     36.00        36.00|        1     32.40        32.40|    24.75        24.75
2403203        2012-3B SNAP ON CURLERS MED         3     42.00       126.00|        3     37.80       113.40|    29.25        87.75
2403203        2012-3B SNAP ON CURLERS MED         1     42.00        42.00|                                |    29.25        29.25
2403202        2012-4B SNAP ON CURLERS SMA         1     36.00        36.00|        1     32.40        32.40|    24.75        24.75
2403202        2012-4B SNAP ON CURLERS SMA         1     36.00        36.00|                                |    24.75        24.75
2402097        2034 MIRROR                         1     29.00        29.00|        1     26.10        26.10|    20.25        20.25
2402097        2034 MIRROR                         2     29.00        58.00|                                |    20.25        40.50
2403018        2049 THERMAL BRUSH                  1    123.00       123.00|        1     98.40        98.40|    85.50        85.50
2403018        2049 THERMAL BRUSH                  1    123.00       123.00|        1    110.70       110.70|    85.50        85.50
2403213        2068-3B FOAM PULLER MED.            3     43.00       129.00|        3     38.70       116.10|    30.00        90.00
2403213        2068-3B FOAM PULLER MED.            1     43.00        43.00|                                |    30.00        30.00
2403212        2068-4 FOAM PULLERS SML.            1     43.00        43.00|        1     38.70        38.70|    30.00        30.00
2403212        2068-4 FOAM PULLERS SML.            2     43.00        86.00|                                |    30.00        60.00
2403206        2069-1 COLD WAVE RODS SML.          6     24.00       144.00|                                |    16.50        99.00
2403207        2069-2 COLD WAVE ODS M.             5     32.00       160.00|        5     28.80       144.00|    21.75       108.75
2403208        2069-3 COLD WAVE RODS L.            1     36.00        36.00|        1     32.40        32.40|    24.75        24.75
2403208        2069-3 COLD WAVE RODS L.            3     36.00       108.00|                                |    24.75        74.25
2403208        2069-3 COLD WAVE RODS L.            1     40.00        40.00|        1     32.00        32.00|    27.75        27.75
2403210        2070-3 COLD WAVE RODS MED.          2     29.00        58.00|        2     26.10        52.20|    20.25        40.50
2403210        2070-3 COLD WAVE RODS MED.          4     29.00       116.00|                                |    20.25        81.00
2403219        2072 CUSHION BRUSH                  1     92.00        92.00|                                |    63.75        63.75
2403224        2073 BATH COMB W/HANDLE             1     25.00        25.00|        1     22.50        22.50|    17.25        17.25
2403224        2073 BATH COMB W/HANDLE             3     25.00        75.00|                                |    17.25        51.75
2403224        2073 BATH COMB W/HANDLE             1     33.00        33.00|        1     26.40        26.40|    22.50        22.50
2403224        2073 BATH COMB W/HANDLE             3     33.00        99.00|                                |    22.50        67.50
2403565        2074 BATCH COMB.                    1     29.00        29.00|        1     26.10        26.10|    20.25        20.25
2403565        2074 BATCH COMB.                    2     29.00        58.00|                                |    20.25        40.50
2403221        2075 PLASTIC COMB.                  1     42.00        42.00|        1     37.80        37.80|    29.25        29.25
2403221        2075 PLASTIC COMB.                  1     42.00        42.00|                                |    29.25        29.25
2403217        2076 HANDY BRUSH                    3     66.00       198.00|        3     59.40       178.20|    45.75       137.25
2403217        2076 HANDY BRUSH                    3     66.00       198.00|                                |    45.75       137.25
2403561        2079 MIRROR                         1     77.00        77.00|        1     69.30        69.30|    53.25        53.25
2403225        2087 COMB                           8     34.00       272.00|        8     27.20       217.60|    23.25       186.00
2403225        2087 COMB                           3     34.00       102.00|        3     30.60        91.80|    23.25        69.75
2403225        2087 COMB                           1     34.00        34.00|                                |    23.25        23.25
2403564        2089 COMB.                          5     34.00       170.00|        5     30.60       153.00|    23.25       116.25
2403564        2089 COMB.                          2     34.00        68.00|                                |    23.25        46.50
2403570        2093 NAIL BRUSH                     1     32.00        32.00|                                |    21.75        21.75
2403570        2093 NAIL BRUSH                     1     39.00        39.00|        1     35.10        35.10|    27.00        27.00
2403640        3HN-462 HAIR NET                    2     23.00        46.00|        2     19.55        39.10|    15.75        31.50


Lopues East Center                                                                      Page: 5
Villamonte, Bacolod City

SALES BY STOCK ITEM
Supplier : [6110] JOYTIS TRADIN
From     : 08/30/2008 To 11/21/2008
Printed  : 11/22/2008 10:42am NEMIA

-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
                                           TotalQty   Regular  Amount Sold | Promo      Promo    Total Promo|              Total
Barcode           Item Description           Sold     Price    (RegularPrc)|  Sold      Price       Sales   |   Cost       Cost 
-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
2403640        3HN-462 HAIR NET                    4     23.00        92.00|        4     20.70        82.80|    15.75        63.00
2403640        3HN-462 HAIR NET                    6     23.00       138.00|                                |    15.75        94.50
2401800        7023 DYE COMB                       4     27.00       108.00|        4     21.60        86.40|    18.75        75.00
2403563        9016 ROLLER BRUSH                   1     55.00        55.00|                                |    38.25        38.25
2403567        9018 COMB.                          2     47.00        94.00|                                |    32.25        64.50
2403014        9022 DENMAN BRUSH                   4     57.00       228.00|        4     45.60       182.40|    39.75       159.00
2403014        9022 DENMAN BRUSH                   2     57.00       114.00|        2     51.30       102.60|    39.75        79.50
2403014        9022 DENMAN BRUSH                   3     57.00       171.00|                                |    39.75       119.25
2403387        9026 ROLLER BRUSH                   3     64.00       192.00|        3     57.60       172.80|    44.25       132.75
2403387        9026 ROLLER BRUSH                   2     64.00       128.00|                                |    44.25        88.50
2403385        9035 ROLLER BRUSH                   4     64.00       256.00|        4     57.60       230.40|    44.25       177.00
2403385        9035 ROLLER BRUSH                   1     64.00        64.00|                                |    44.25        44.25
2403388        9036 FLAT BRUSH                     6     64.00       384.00|        6     57.60       345.60|    44.25       265.50
2403388        9036 FLAT BRUSH                     1     64.00        64.00|                                |    44.25        44.25
2403383        9041 FLAT BRUSH                     2     64.00       128.00|                                |    44.25        88.50
2403033        BL30 BLUSH ON BRUSH                 2     34.00        68.00|        2     30.60        61.20|    23.25        46.50
2401790        BS51 JOY FASHIO SCIS                1    133.00       133.00|                                |    93.00        93.00
1049215        CP#351 CHS.STOCKING                 1     49.75        49.75|                                |    37.31        37.31
1049194        CP#525 CHS.STOCKING                 2     69.75       139.50|                                |    52.31       104.62
1049209        CP#530 CHS.STOCKING                 1     49.75        49.75|                                |    37.31        37.31
1049202        CP#534 CHS.STOCKING                 1     69.75        69.75|                                |    52.31        52.31
1049196        CP#539 CHS.STOCKING                 1     69.75        69.75|        1     59.29        59.30|    52.31        52.31
2765362        ELLE STAY-UP #22                    1     26.75        26.75|                                |    20.06        20.06
2402570        HN-450 HAIRNET                      3     55.00       165.00|        3     49.50       148.50|    38.25       114.75
2402570        HN-450 HAIRNET                      4     55.00       220.00|                                |    38.25       153.00
