<small3>
Lopues East Center                                                                      Page: 1
Villamonte, Bacolod City

SALES BY STOCK ITEM
Supplier : [2979] MAIN PACIFIC FEATURES INC
From     : 01/01/2009 To 10/13/2009
Printed  : 10/14/2009 11:29am NEMIA

-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
                                           TotalQty   Regular  Amount Sold | Promo      Promo    Total Promo|              Total
Barcode           Item Description           Sold     Price    (RegularPrc)|  Sold      Price       Sales   |   Cost       Cost 
Barcode           Item Description           Sold     Price    (RegularPrc)|  Sold      Price       Sales   |   Cost       Cost 
-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
14             BOOKS(GIBSON)                      18    180.00     3,240.00|       18    153.00     2,754.00|     0.00         0.00
14             BOOKS(GIBSON)                       9    180.00     1,620.00|        9    162.00     1,458.00|     0.00         0.00
14             BOOKS(GIBSON)                      60    180.00    10,800.00|                                |     0.00         0.00
14             BOOKS(GIBSON)                       1    185.00       185.00|        1    157.25       157.25|     0.00         0.00
14             BOOKS(GIBSON)                      13    190.00     2,470.00|       13    161.50     2,099.50|     0.00         0.00
14             BOOKS(GIBSON)                      24    190.00     4,560.00|       24    171.00     4,104.00|     0.00         0.00
14             BOOKS(GIBSON)                      47    190.00     8,930.00|                                |     0.00         0.00
14             BOOKS(GIBSON)                       1    199.00       199.00|                                |     0.00         0.00
14             BOOKS(GIBSON)                       1    199.50       199.50|        1    179.55       179.55|     0.00         0.00
14             BOOKS(GIBSON)                       1    199.50       199.50|                                |     0.00         0.00
14             BOOKS(GIBSON)                       1    205.00       205.00|        1    174.25       174.25|     0.00         0.00
14             BOOKS(GIBSON)                       1    205.00       205.00|        1    184.50       184.50|     0.00         0.00
14             BOOKS(GIBSON)                       3    205.00       615.00|                                |     0.00         0.00
14             BOOKS(GIBSON)                       1    220.00       220.00|        1    198.00       198.00|     0.00         0.00
14             BOOKS(GIBSON)                       4    220.00       880.00|                                |     0.00         0.00
14             BOOKS(GIBSON)                       3    225.00       675.00|        3    191.25       573.75|     0.00         0.00
14             BOOKS(GIBSON)                       5    225.00     1,125.00|        5    202.50     1,012.50|     0.00         0.00
14             BOOKS(GIBSON)                       2    225.00       450.00|                                |     0.00         0.00
14             BOOKS(GIBSON)                       1    238.00       238.00|                                |     0.00         0.00
14             BOOKS(GIBSON)                       1    240.00       240.00|                                |     0.00         0.00
14             BOOKS(GIBSON)                       1    249.00       249.00|        1    224.10       224.10|     0.00         0.00
14             BOOKS(GIBSON)                       1    249.00       249.00|                                |     0.00         0.00
14             BOOKS(GIBSON)                       1    250.00       250.00|                                |     0.00         0.00
14             BOOKS(GIBSON)                       1    255.00       255.00|        1    216.75       216.75|     0.00         0.00
14             BOOKS(GIBSON)                       2    275.00       550.00|        2    247.50       495.00|     0.00         0.00
14             BOOKS(GIBSON)                       5    275.00     1,375.00|                                |     0.00         0.00
14             BOOKS(GIBSON)                       6    280.00     1,680.00|        6    238.00     1,428.00|     0.00         0.00
14             BOOKS(GIBSON)                       6    280.00     1,680.00|                                |     0.00         0.00
14             BOOKS(GIBSON)                       4    290.00     1,160.00|        4    246.50       986.00|     0.00         0.00
14             BOOKS(GIBSON)                      12    290.00     3,480.00|       12    261.00     3,132.00|     0.00         0.00
14             BOOKS(GIBSON)                      16    290.00     4,640.00|                                |     0.00         0.00
14             BOOKS(GIBSON)                       2    299.00       598.00|                                |     0.00         0.00
14             BOOKS(GIBSON)                       1    300.00       300.00|                                |     0.00         0.00
14             BOOKS(GIBSON)                       2    305.00       610.00|        2    259.25       518.50|     0.00         0.00
14             BOOKS(GIBSON)                       1    305.00       305.00|        1    274.50       274.50|     0.00         0.00
14             BOOKS(GIBSON)                       1    305.00       305.00|                                |     0.00         0.00
14             BOOKS(GIBSON)                       1    320.00       320.00|        1    272.00       272.00|     0.00         0.00
14             BOOKS(GIBSON)                       4    320.00     1,280.00|                                |     0.00         0.00
14             BOOKS(GIBSON)                       1    380.00       380.00|        1    342.00       342.00|     0.00         0.00
14             BOOKS(GIBSON)                       1    380.00       380.00|                                |     0.00         0.00
14             BOOKS(GIBSON)                       1    399.00       399.00|                                |     0.00         0.00
14             BOOKS(GIBSON)                       1    405.00       405.00|                                |     0.00         0.00
14             BOOKS(GIBSON)                       2    480.00       960.00|        2    432.00       864.00|     0.00         0.00
14             BOOKS(GIBSON)                       2    558.00     1,116.00|        2     55.00       110.00|     0.00         0.00
14             BOOKS(GIBSON)                       1  1,980.00     1,980.00|        1    190.00       190.00|     0.00         0.00
14             BOOKS(GIBSON)                       1      0.35         0.35|        1     35.00        35.00|     0.00         0.00
<eject>Lopues East Center                                                                      Page: 5
Villamonte, Bacolod City

SALES BY STOCK ITEM
Supplier : [2979] MAIN PACIFIC FEATURES INC
From     : 01/01/2009 To 10/13/2009
Printed  : 10/14/2009 11:29am NEMIA

-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
                                           TotalQty   Regular  Amount Sold | Promo      Promo    Total Promo|              Total
Barcode           Item Description           Sold     Price    (RegularPrc)|  Sold      Price       Sales   |   Cost       Cost 
-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
14             BOOKS(GIBSON)                       2      2.50         5.00|                                |     0.00         0.00
14             BOOKS(GIBSON)                       1      5.00         5.00|        1      4.25         4.25|     0.00         0.00
14             BOOKS(GIBSON)                       5      5.00        25.00|        5     35.00       175.00|     0.00         0.00
14             BOOKS(GIBSON)                       4      5.00        20.00|        4     45.00       180.00|     0.00         0.00
14             BOOKS(GIBSON)                       1      5.00         5.00|        1     85.00        85.00|     0.00         0.00
14             BOOKS(GIBSON)                       2      9.00        18.00|        2     99.00       198.00|     0.00         0.00
14             BOOKS(GIBSON)                       2     10.00        20.00|        2      8.50        17.00|     0.00         0.00
14             BOOKS(GIBSON)                      18     10.00       180.00|       18      9.00       162.00|     0.00         0.00
